tag,canonical_id,dim_hint
AI,INDUSTRY:AI,theme
AI算力,INDUSTRY:AI算力,theme
电新,INDUSTRY:电新,sector
电子,INDUSTRY:电子,sector
通信,INDUSTRY:通信,sector
化工,INDUSTRY:化工,sector
建材,INDUSTRY:建材,sector
机械,INDUSTRY:机械,sector
公用事业,INDUSTRY:公用事业,sector
交运,INDUSTRY:交运,sector
消费者服务,INDUSTRY:消费者服务,sector
建筑,INDUSTRY:建筑,sector
食品饮料,INDUSTRY:食品饮料,sector
计算机,INDUSTRY:计算机,sector
医药,INDUSTRY:医药,sector
有色,INDUSTRY:有色,sector
军工,INDUSTRY:军工,sector
石油石化,INDUSTRY:石油石化,sector
红利,STYLE:红利,style
高股息,STYLE:高股息,style
中证A500,INDEX:中证A500,style
科创创业50,INDEX:科创创业50,style
沪深300,INDEX:沪深300,style
创业板指,INDEX:创业板指,style
中证500,INDEX:中证500,style
北上资金,THEME:北上资金,theme
公募基金,THEME:公募基金,theme
股票ETF,THEME:股票ETF,theme
两融,THEME:两融,theme
